Bidding Area EIC Code,Name Latvia-Ru,Short Name
43YLRI--------04,Latvia-Russia Import,LRI
10YMA-ONE------O,Morocco,MO
10YES-REE------0,Spain,ES
10YNO-3--------J,Norway 3,NO3
10Y1001A1001A893,Corsica,CORS
10Y1001A1001A80L,Austria Italy Exchange,AUST
10Y1001A1001A016,Northern IreLand,NIR
10YNL----------L,Netherlands,NL
10Y1001A1001A44P,Sweden 1,SE1
10YHR-HEP------M,Croatia,HR
10Y1001A1001A64J,Norway 1 internal,NO1A
10YFR-RTE------C,France,FR
10Y1001A1001A56I,Lithuania-Belarus Export,LBE
10Y1001A1001A48H,Norway 5,NO5
10YSI-ELES-----O,Southpool,BSP
10Y1001A1001A68B,Swiss Italy Exchange,SVIZ
10YCA-BULGARIA-R,Bulgaria,BG
10Y1001A1001A788,Sud,SUD
38YNPSRUIMP----S,Estonia-Russian Import,ERI
10YGR-HTSO-----Y,Greece Mainland,GREE
43YLRE-------008,Latvia-Russia Export,LRE
10Y1001A1001A81J,France Italy Exchange,FRAN
10Y1001A1001A45N,Sweden 2,SE2
10Y1001A1001A73I,Nord,NORD
10Y1001A1001A70O,Centro Nord,CNOR
22Y201903145---4,Germany 1 internal,ALDE
10YDK-1--------W,Denmark 1,DK1
10Y1001A1001A877,Malta,MALT
10YNO-4--------9,Norway 4,NO4
10YBE----------2,Belgium,BE
10YNO-1--------2,Norway 1,NO1
10Y1001A1001A46L,Sweden 3,SE3
10Y1001A1001A74G,Sardinia,SARD
10YAT-APG------L,Austria,AT
10Y1001A1001A66F,Greece,GREC
10Y1001C--00096J,Calabria,CALA
10YLV-1001A00074,Latvia,LV
22Y201903144---9,Belgium 1 internal,ALBE
10YPT-REN------W,Portugal,PT
10Y1001C--000611,Montenegro,MONT
10YFI-1--------U,Finland,FI
10Y1001A1001A71M,Centro Sud,CSUD
10Y1001A1001A885,Corsica CA,COAC
10YIE-1001A00010,Republic Of IreLand,ROI
10Y1001C--00038X,Poland Internal,PLC
10Y1001A1001A47J,Sweden 4,SE4
10Y1001A1001A75E,Sicily,SICI
10YLT-1001A0008Q,Lithuania,LT
10Y1001A1001A67D,Slovenia Italy Exchange,SLOV
10Y1001A1001A39I,Estonia,EE
10YNO-2--------T,Norway 2,NO2
10YPL-AREA-----S,Poland,PL
10YDK-2--------M,Denmark 2,DK2
10YDK-1-------AA,Denmark 1 internal,DK1A
10YCB-GERMANY--8,Germany,DE/LU
10YHU-MAVIR----U,Hungary,HU
10YRO-TEL------P,Romania,RO
10YDOM-1001A082L,Germany Internal 2,DEA2
10YCZ-CEPS-----N,Czech Republic,CZ
10YSK-SEPS-----K,Slovakia,SK
