TSO names,Country,TSO bidding-zone-code,TSO EIC code,AssessdedOperatorCode,Native Region Code,Secured For Region
TTG,Germany,10Y1001A1001A82H,10XDE-EON-NETZ-C,10XRO-TEL------2,10Y1001C--00059P,10Y1001C--00059P
50H,Germany,10Y1001A1001A82H,10YDE-VE-------2,10XRO-TEL------2,10Y1001C--00059P,10Y1001C--00059P
Amprion,Germany,10Y1001A1001A82H,10XDE-RWENET---W,10XRO-TEL------2,10Y1001C--00059P,10Y1001C--00059P
TransnetBW,Germany,10Y1001A1001A82H,10XDE-ENBW--TNGX,10XRO-TEL------2,10Y1001C--00059P,10Y1001C--00059P
RTE,France,10YFR-RTE------C,10XFR-RTE------Q,10XRO-TEL------2,10Y1001C--00059P,10Y1001C--00059P
Elia,Belgium,10YBE----------2,10X1001A1001A094,10XRO-TEL------2,10Y1001C--00059P,10Y1001C--00059P
TTN,Netherlands,10YNL----------L,10X1001A1001A361,10XRO-TEL------2,10Y1001C--00059P,10Y1001C--00059P
PSE,Poland,10YPL-AREA-----S,10XPL-TSO------P,10XRO-TEL------2,10Y1001C--00059P,10Y1001C--00059P
APG,Austria,10YAT-APG------L,10XAT-APG------Z,10XRO-TEL------2,10Y1001C--00059P,10Y1001C--00059P
CEPS,Czech Republic,10YCZ-CEPS-----N,10XCZ-CEPS-GRIDE,10XRO-TEL------2,10Y1001C--00059P,10Y1001C--00059P
ELES,Slovenia,10YSI-ELES-----O,10XSI-ELES-----1,10XRO-TEL------2,10Y1001C--00059P,10Y1001C--00059P
HOPS,Croatia,10YHR-HEP------M,10XHR-HEP-OPS--A,10XRO-TEL------2,10Y1001C--00059P,10Y1001C--00059P
MAVIR,Hungary,10YHU-MAVIR----U,10X1001A1001A329,10XRO-TEL------2,10Y1001C--00059P,10Y1001C--00059P
SEPS,Slovakia,10YSK-SEPS-----K,10XSK-SEPS-GRIDB,10XRO-TEL------2,10Y1001C--00059P,10Y1001C--00059P
